hidden_layer_sizes,activation,learning_rate,lam,alpha,tol,batch_size,shuffle,max_iter,score
"[64, 64]",relu,0.1,0.0001,0.9,1e-05,64,False,3000,1.134236600951373
"[32, 32]",relu,0.1,5e-05,0.7,1e-05,32,True,3000,1.1344895945538631
"[32, 32]",relu,0.01,5e-05,0.9,1e-05,64,False,3000,1.134836854313533
"[64, 64]",relu,0.03,0.0001,0.0,1e-05,32,False,3000,1.137330330085964
"[64, 64]",relu,0.05,5e-05,0.9,1e-05,32,False,3000,1.1383471115213455
"[32, 32]",relu,0.01,5e-05,0.9,1e-05,64,True,3000,1.138696484917843
"[32, 32]",relu,0.003,0.0,0.9,1e-05,32,True,3000,1.138907505691626
"[64, 64]",relu,0.01,5e-05,0.7,1e-05,64,False,3000,1.1393769630016122
"[64, 64]",relu,0.003,0.0,0.0,1e-05,32,False,3000,1.1404079643934886
"[32, 32]",relu,0.01,5e-05,0.7,1e-05,32,False,3000,1.1404121774490708
"[32, 32]",relu,0.1,5e-05,0.0,1e-05,32,False,3000,1.1406974577121178
"[64, 64]",relu,0.05,5e-05,0.7,1e-05,64,True,3000,1.140833418569841
"[64, 64]",relu,0.1,5e-05,0.7,1e-05,32,True,3000,1.141600680138394
"[64, 64]",relu,0.03,0.0001,0.0,1e-05,32,True,3000,1.142057023567555
"[64, 64]",relu,0.1,5e-05,0.0,1e-05,32,True,3000,1.1448902077587984
"[64, 64]",relu,0.01,0.0,0.0,1e-05,64,False,3000,1.1455040731491195
"[32, 32]",relu,0.01,0.0,0.7,1e-05,64,True,3000,1.1457365892071991
"[32, 32]",relu,0.05,5e-05,0.7,1e-05,64,False,3000,1.1465363028537665
"[64, 64]",relu,0.1,5e-05,0.0,1e-05,64,True,3000,1.1474996633930077
"[64, 64]",relu,0.1,5e-05,0.0,1e-05,64,False,3000,1.147852161682293
"[64, 64]",relu,0.003,0.0,0.0,1e-05,32,True,3000,1.148178518547612
"[64, 64]",relu,0.003,0.0,0.7,1e-05,64,True,3000,1.1493841242583864
"[64, 64]",relu,0.01,0.0,0.0,1e-05,64,True,3000,1.1494497610108645
"[32, 32]",relu,0.03,0.0001,0.0,1e-05,32,False,3000,1.1505676032697674
"[32, 32]",relu,0.03,0.0001,0.0,1e-05,32,True,3000,1.1527720477458443
"[32, 32]",relu,0.03,0.0001,0.0,1e-05,64,False,3000,1.153009643397188
"[32, 32]",relu,0.01,5e-05,0.7,1e-05,64,False,3000,1.1536694092260196
"[64, 64]",relu,0.003,0.0,0.9,1e-05,32,False,3000,1.1538807757751903
